ID,Order,Family,Family name,Common name,Scientific name,IUCN Status,ABA Status,CA List,Life list date,Life list location,US,CA,ABA,World Obs (Oct 2025),US Obs (Oct 2025),CA Obs (Oct 2025),Range,Featured,Order Target,Location
5968,PASSERIFORMES,Meliphagidae,Honeyeaters,Bridled Honeyeater,Bolemoreus frenatus,LC,,,#N/A,#N/A,#N/A,#N/A,#N/A,"10,630",0,0,northeastern Australia (upland Wet Tropics region),,,
314,GALLIFORMES,Cracidae,"Guans, Chachalacas, and Curassows",Chestnut-winged Chachalaca,Ortalis garrula,LC,,,#N/A,#N/A,#N/A,#N/A,#N/A,"10,624",0,0,woodland and scrub of northern Colombia,,,
6232,PASSERIFORMES,Campephagidae,Cuckooshrikes,Barred Cuckooshrike,Coracina lineata,LC,,,#N/A,#N/A,#N/A,#N/A,#N/A,"10,619",0,0,,,,
8119,PASSERIFORMES,Zosteropidae,"White-eyes, Yuhinas, and Allies",Black-chinned Yuhina,Yuhina nigrimenta,LC,,,#N/A,#N/A,#N/A,#N/A,#N/A,"10,616",0,0,"northern India eastward to central and southeastern China, southward to western Myanmar, northern and central Laos, Vietnam, and far eastern Cambodia",,,
9878,PASSERIFORMES,Estrildidae,Waxbills and Allies,Quailfinch,Ortygospiza atricollis,LC,,,#N/A,#N/A,#N/A,#N/A,#N/A,"10,616",0,0,,,,
8845,PASSERIFORMES,Mimidae,Mockingbirds and Thrashers,Gray Thrasher,Toxostoma cinereum,LC,,,#N/A,#N/A,#N/A,#N/A,#N/A,"10,599",0,0,,,,
937,OTIDIFORMES,Otididae,Bustards,White-quilled Bustard,Afrotis afraoides,LC,,,#N/A,#N/A,#N/A,#N/A,#N/A,"10,595",0,0,,,,
10704,PASSERIFORMES,Parulidae,New World Warblers,Gray-and-gold Warbler,Myiothlypis fraseri,LC,,,#N/A,#N/A,#N/A,#N/A,#N/A,"10,594",0,0,,,,
9993,PASSERIFORMES,Motacillidae,Wagtails and Pipits,Mountain Wagtail,Motacilla clara,LC,,,#N/A,#N/A,#N/A,#N/A,#N/A,"10,592",0,0,,,,
1515,APODIFORMES,Trochilidae,Hummingbirds,Golden-breasted Puffleg,Eriocnemis mosquera,LC,,,#N/A,#N/A,#N/A,#N/A,#N/A,"10,589",0,0,southwestern and central Andes of Colombia to northwestern Ecuador,,,
3186,STRIGIFORMES,Strigidae,Owls,Barking Owl,Ninox connivens,UN,,,#N/A,#N/A,#N/A,#N/A,#N/A,"10,585",0,0,,,,
9336,PASSERIFORMES,Muscicapidae,Old World Flycatchers,White-winged Redstart,Phoenicurus erythrogastrus,LC,,,#N/A,#N/A,#N/A,#N/A,#N/A,"10,577",0,0,,,,
